,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,epoch duration,run duration,lr,batch_size
0,0,1.0369969286600749,0.2754484375,0.8315666666666667,0.9309999942779541,4.613783121109009,7.869874954223633,0.001,1024
1,1,0.19843898277282715,0.1830634521484375,0.9448666666666666,0.9485999941825867,2.3946468830108643,10.275337219238281,0.001,1024
2,2,0.11836842727661133,0.15833179931640626,0.9656333333333333,0.9547999501228333,2.5778183937072754,12.862090110778809,0.001,1024
3,3,0.07842010110219319,0.13391092529296875,0.9769166666666667,0.9617999792098999,2.4437925815582275,15.315112829208374,0.001,1024
4,4,0.05181403401692709,0.1306707275390625,0.9851833333333333,0.9626999497413635,2.4748263359069824,17.799409866333008,0.001,1024
5,5,0.03717516384124756,0.11966114501953125,0.9899,0.965399980545044,2.495375394821167,20.303906679153442,0.001,1024
6,6,0.02557026516596476,0.11292093505859375,0.9935166666666667,0.9681999683380127,2.456855297088623,22.77023148536682,0.001,1024
7,7,0.018022944672902424,0.10857611083984375,0.9959333333333333,0.9686999917030334,2.5847816467285156,25.364344835281372,0.001,1024
8,8,0.013092425457636515,0.1088013916015625,0.9976333333333334,0.9696999788284302,2.568423271179199,27.942126274108887,0.001,1024
9,9,0.00978436602751414,0.1066403564453125,0.9987333333333334,0.9697999954223633,2.5781400203704834,30.529696464538574,0.001,1024
10,10,0.007610222593943278,0.10402862548828125,0.99905,0.972599983215332,2.4487485885620117,32.98957180976868,0.001,1024
11,11,0.0061963232477506005,0.104861865234375,0.99945,0.9714999794960022,2.490602493286133,35.48983716964722,0.001,1024
12,12,0.005135757132371267,0.1030341796875,0.9995833333333334,0.9732999801635742,2.5214827060699463,38.02099347114563,0.001,1024
13,13,0.004189268573125204,0.10387073974609375,0.9998333333333334,0.9729999899864197,2.580615758895874,40.61183762550354,0.001,1024
14,14,0.0037494918247063954,0.10114121704101563,0.9998833333333333,0.9745999574661255,2.431112051010132,43.05304479598999,0.001,1024
15,15,0.003318561911582947,0.10464444580078125,0.99985,0.9732999801635742,2.529862880706787,45.592864751815796,0.001,1024
16,16,0.003393870864311854,0.10902156982421875,0.9997833333333334,0.9741999506950378,2.445646047592163,48.04951477050781,0.001,1024
17,17,0.003274653347333272,0.10561007080078125,0.9998166666666667,0.9741999506950378,2.3553526401519775,50.415459394454956,0.001,1024
18,18,0.0027551427145799,0.10273592529296875,0.9998666666666667,0.9750999808311462,2.5910561084747314,53.01694297790527,0.001,1024
19,19,0.003156175043185552,0.1056316162109375,0.9997333333333334,0.9746999740600586,2.445638656616211,55.472962856292725,0.001,1024
20,20,0.003147668798764547,0.10650660400390626,0.9997833333333334,0.9741999506950378,2.5012307167053223,57.98475909233093,0.001,1024
21,21,0.003587324955066045,0.1124345703125,0.9994666666666666,0.9740999937057495,2.476951837539673,60.4723424911499,0.001,1024
22,22,0.004099511913458506,0.11043687744140625,0.9992833333333333,0.9734999537467957,2.4011967182159424,62.8843207359314,0.001,1024
23,23,0.0050427308022975926,0.12149315185546875,0.99885,0.9727999567985535,2.460818290710449,65.35598111152649,0.001,1024
24,24,0.007629798209667206,0.1290156982421875,0.9976666666666667,0.9718999862670898,2.472428798675537,67.83931875228882,0.001,1024
25,25,0.012619856309890747,0.12548731689453124,0.99595,0.973099946975708,2.4035511016845703,70.25381994247437,0.001,1024
26,26,0.011793345928192138,0.12329232177734376,0.9959666666666667,0.973800003528595,2.54006028175354,72.80504179000854,0.001,1024
27,27,0.012634204403559366,0.11237197265625,0.9956333333333334,0.9753999710083008,2.4396040439605713,75.25582695007324,0.001,1024
28,28,0.012118409617741903,0.1149465576171875,0.9959,0.9752999544143677,2.5208287239074707,77.78800988197327,0.001,1024
29,29,0.01072376614411672,0.118272265625,0.9967666666666667,0.9749999642372131,2.4812679290771484,80.2806806564331,0.001,1024
30,30,0.008356779650847117,0.126390380859375,0.9973,0.9736999869346619,2.4787447452545166,82.77092170715332,0.001,1024
31,31,0.008716042606035868,0.11993441162109375,0.9972666666666666,0.977400004863739,2.5653486251831055,85.34793639183044,0.001,1024
32,32,0.009645861649513244,0.116298486328125,0.9966833333333334,0.9779999852180481,2.6778814792633057,88.03739047050476,0.001,1024
33,33,0.009649672345320383,0.12475848388671874,0.99655,0.9753999710083008,2.5030152797698975,90.55215764045715,0.001,1024
34,34,0.010275245261192322,0.12008121337890625,0.9966,0.9776999950408936,2.540846109390259,93.10481858253479,0.001,1024
35,35,0.012006857089201609,0.13268968505859374,0.9960833333333333,0.976099967956543,2.5182180404663086,95.63489151000977,0.001,1024
36,36,0.016562492009003955,0.12498712158203125,0.9943333333333333,0.9771999716758728,2.5306177139282227,98.17744612693787,0.001,1024
37,37,0.01686236706574758,0.13202581787109374,0.9941666666666666,0.9763999581336975,2.5594141483306885,100.74898266792297,0.001,1024
38,38,0.014414017138878504,0.1304130615234375,0.99485,0.9767999649047852,2.4654221534729004,103.22656512260437,0.001,1024
39,39,0.01625695403814316,0.1349122314453125,0.9946,0.976699948310852,2.505802869796753,105.74462556838989,0.001,1024
40,40,0.014087648586432138,0.12487735595703126,0.9953,0.9791999459266663,2.5117318630218506,108.26870632171631,0.001,1024
41,41,0.016121547375122707,0.14622266845703125,0.9943666666666666,0.9763999581336975,2.525489330291748,110.80686593055725,0.001,1024
42,42,0.017204950066407522,0.139282421875,0.994,0.977899968624115,2.5271806716918945,113.34662890434265,0.001,1024
43,43,0.02176070214907328,0.1462697998046875,0.9931,0.9770999550819397,2.5722367763519287,115.93155169487,0.001,1024
44,44,0.02194624522527059,0.1320454345703125,0.9930333333333333,0.9799999594688416,2.5322792530059814,118.47664189338684,0.001,1024
45,45,0.01650301061073939,0.138372412109375,0.9945166666666667,0.9803999662399292,2.5778045654296875,121.06742095947266,0.001,1024
46,46,0.017479479813575744,0.15282891845703125,0.9942166666666666,0.9787999987602234,2.602400779724121,123.68314862251282,0.001,1024
47,47,0.021241037217775982,0.13895732421875,0.9931333333333333,0.9795999526977539,2.656113386154175,126.35257887840271,0.001,1024
48,48,0.02537729679743449,0.151622265625,0.9921833333333333,0.9785999655723572,2.470839500427246,128.83660411834717,0.001,1024
49,49,0.03077078648408254,0.14983660888671874,0.9905166666666667,0.9779999852180481,2.686058282852173,131.5359241962433,0.001,1024
50,50,0.028421781905492147,0.152940234375,0.99155,0.9784999489784241,2.6431665420532227,134.19242429733276,0.001,1024
51,51,0.028125773525238037,0.15585284423828125,0.9909833333333333,0.9791999459266663,2.4700264930725098,136.6758713722229,0.001,1024
52,52,0.024123416511217754,0.147537353515625,0.99245,0.9800999760627747,2.5435903072357178,139.2329125404358,0.001,1024
53,53,0.027199921464920045,0.1438698974609375,0.9913,0.9822999835014343,2.442430019378662,141.68919706344604,0.001,1024
54,54,0.026125636084874473,0.16311400146484376,0.99185,0.979699969291687,2.5107810497283936,144.21388864517212,0.001,1024
55,55,0.032723192087809244,0.15289696044921874,0.9908666666666667,0.9803999662399292,2.435127019882202,146.66326189041138,0.001,1024
56,56,0.02922859847545624,0.156371923828125,0.99115,0.9799000024795532,2.5529391765594482,149.2300362586975,0.001,1024
57,57,0.033917754379908245,0.1634075439453125,0.9900333333333333,0.981499969959259,2.5506434440612793,151.7946298122406,0.001,1024
58,58,0.0369046311378479,0.1512971923828125,0.9899,0.9813999533653259,2.4810497760772705,154.28974866867065,0.001,1024
59,59,0.028621345361073813,0.15689027099609376,0.9919166666666667,0.9813999533653259,2.4629244804382324,156.76696157455444,0.001,1024
60,60,0.029984298006693524,0.16305087890625,0.9912833333333333,0.9812999963760376,2.5411744117736816,159.32247042655945,0.001,1024
61,61,0.03213536705970764,0.16474471435546875,0.9908166666666667,0.98089998960495,2.6519970893859863,162.01253199577332,0.001,1024
62,62,0.03902834719022115,0.18996280517578126,0.98905,0.9793999791145325,2.6171457767486572,164.64131665229797,0.001,1024
63,63,0.039150419855117795,0.15894041748046875,0.9894666666666667,0.981499969959259,2.6130335330963135,167.26596808433533,0.001,1024
64,64,0.03555841363271078,0.17031793212890625,0.99025,0.9803999662399292,2.6745433807373047,169.95218682289124,0.001,1024
65,65,0.034426598167419435,0.1776405029296875,0.9902333333333333,0.9819999933242798,2.5677132606506348,172.53230667114258,0.001,1024
66,66,0.03672494797706604,0.1646069091796875,0.9898,0.9827999472618103,2.61338472366333,175.1574878692627,0.001,1024
67,67,0.042360553010304766,0.18560931396484376,0.9890666666666666,0.9799999594688416,2.5445568561553955,177.71359515190125,0.001,1024
68,68,0.04917882391611735,0.170554736328125,0.9875666666666667,0.9822999835014343,2.5327439308166504,180.25868439674377,0.001,1024
69,69,0.0390965602238973,0.17346102294921875,0.9892166666666666,0.9819999933242798,2.4832489490509033,182.75358390808105,0.001,1024
70,70,0.03995743671258291,0.1716869873046875,0.9890166666666667,0.9825999736785889,2.6105668544769287,185.37720108032227,0.001,1024
71,71,0.041266762002309165,0.16272823486328125,0.9886833333333334,0.983299970626831,2.4952218532562256,187.88403820991516,0.001,1024
72,72,0.045291266377766926,0.161082763671875,0.9880166666666667,0.9825999736785889,2.5337347984313965,190.42950558662415,0.001,1024
73,73,0.04661853081385295,0.18489844970703126,0.9872166666666666,0.9810999631881714,2.492445230484009,192.93374919891357,0.001,1024
74,74,0.048413689390818276,0.17559036865234376,0.9879166666666667,0.9824000000953674,2.5019030570983887,195.44735383987427,0.001,1024
75,75,0.04818883218765259,0.1757038330078125,0.98765,0.9835000038146973,2.4354302883148193,197.89490222930908,0.001,1024
76,76,0.048606689087549844,0.18184801025390626,0.9876166666666667,0.9824999570846558,2.5908424854278564,200.49733448028564,0.001,1024
77,77,0.04695226424535116,0.175612255859375,0.9875833333333334,0.9824000000953674,2.5483181476593018,203.0573534965515,0.001,1024
78,78,0.04791239620844523,0.16930948486328126,0.9872333333333333,0.983299970626831,2.546377420425415,205.6157681941986,0.001,1024
79,79,0.04059235011736552,0.17156429443359375,0.9893,0.983299970626831,2.5678513050079346,208.19548535346985,0.001,1024
80,80,0.046711535120010375,0.1818622802734375,0.9878666666666667,0.983299970626831,2.464177131652832,210.67153215408325,0.001,1024
81,81,0.05246935745875041,0.1714879150390625,0.9869666666666667,0.984499990940094,2.7741639614105225,213.45739793777466,0.001,1024
82,82,0.05185267709096273,0.18183414306640625,0.9869166666666667,0.982699990272522,2.6215507984161377,216.09062147140503,0.001,1024
83,83,0.053602170530955,0.17869178466796876,0.9861666666666666,0.9840999841690063,2.4867289066314697,218.58897495269775,0.001,1024
84,84,0.047939280128479006,0.1873705078125,0.9875833333333334,0.983199954032898,2.4489362239837646,221.05018019676208,0.001,1024
85,85,0.04874277318318685,0.18304954833984374,0.98725,0.9835999608039856,2.503077507019043,223.56518602371216,0.001,1024
86,86,0.05215771719614665,0.19417000732421874,0.9868333333333333,0.9835000038146973,2.4858791828155518,226.06269001960754,0.001,1024
87,87,0.05081222852071126,0.1876182861328125,0.98735,0.9830999970436096,2.468477249145508,228.54374194145203,0.001,1024
88,88,0.058135980796813966,0.19177513427734375,0.9857833333333333,0.9827999472618103,2.4710001945495605,231.02712631225586,0.001,1024
89,89,0.05849934949874878,0.1858146240234375,0.9859333333333333,0.9836999773979187,2.654087781906128,233.69302082061768,0.001,1024
90,90,0.05846289135615031,0.182404296875,0.9858666666666667,0.9819999933242798,2.4781880378723145,236.18295311927795,0.001,1024
91,91,0.05692598765691122,0.179742919921875,0.98525,0.9836999773979187,2.5880565643310547,238.78279662132263,0.001,1024
92,92,0.05806426194508871,0.1899375,0.9853333333333333,0.9817000031471252,2.552316904067993,241.3469443321228,0.001,1024
93,93,0.05654950456619263,0.18507078857421874,0.9858,0.9830999970436096,2.623145341873169,243.98214411735535,0.001,1024
94,94,0.05717856330871582,0.19388128662109375,0.98595,0.9848999977111816,2.5676841735839844,246.56200504302979,0.001,1024
95,95,0.05780134223302205,0.17828194580078124,0.9859666666666667,0.9842999577522278,2.6191048622131348,249.19302773475647,0.001,1024
96,96,0.05805186449686686,0.17988486328125,0.9854666666666667,0.9837999939918518,2.6246604919433594,251.8295087814331,0.001,1024
97,97,0.05751916573842367,0.18408389892578125,0.9853833333333334,0.983299970626831,2.654036045074463,254.49525356292725,0.001,1024
98,98,0.06567956822713217,0.1838007568359375,0.9840333333333333,0.9833999872207642,2.580225706100464,257.08719658851624,0.001,1024
99,99,0.05551534372965495,0.18075889892578126,0.9859666666666667,0.9830999970436096,2.536179304122925,259.63510274887085,0.001,1024
100,100,0.05898056049346924,0.18298548583984375,0.98445,0.9828999638557434,2.6610641479492188,262.3079442977905,0.001,1024
101,101,0.05648821818033854,0.182847900390625,0.9856666666666667,0.9833999872207642,2.52526593208313,264.84489488601685,0.001,1024
102,102,0.0558575078646342,0.19227513427734375,0.98575,0.9835999608039856,2.6484851837158203,267.50552678108215,0.001,1024
103,103,0.06330497875213623,0.184558544921875,0.9842833333333333,0.983199954032898,2.6196022033691406,270.1368362903595,0.001,1024
104,104,0.061027888615926104,0.1747741943359375,0.9846,0.9835000038146973,2.611025094985962,272.759685754776,0.001,1024
105,105,0.05737930866877238,0.17975989990234376,0.98495,0.9835999608039856,2.5692782402038574,275.34124207496643,0.001,1024
106,106,0.05771292559305827,0.17907816162109375,0.9847,0.9842000007629395,2.4928975105285645,277.8460807800293,0.001,1024
107,107,0.062377835210164385,0.18441051025390626,0.98415,0.9828999638557434,2.5535671710968018,280.41151571273804,0.001,1024
108,108,0.06186114807128906,0.18005771484375,0.9839166666666667,0.9833999872207642,2.5380332469940186,282.9612202644348,0.001,1024
109,109,0.058097306855519615,0.187110546875,0.9853333333333333,0.9836999773979187,2.491856336593628,285.4654619693756,0.001,1024
110,110,0.05825733804702759,0.18617119140625,0.9844666666666667,0.9840999841690063,2.6411123275756836,288.11847972869873,0.001,1024
111,111,0.06136539586385091,0.19539580078125,0.9850333333333333,0.9825999736785889,2.5913984775543213,290.72170877456665,0.001,1024
112,112,0.0640210064570109,0.18169193115234375,0.9843166666666666,0.9833999872207642,2.5868465900421143,293.3208763599396,0.001,1024
113,113,0.05993972495396932,0.18567650146484374,0.9846833333333334,0.9829999804496765,2.621985912322998,295.9547128677368,0.001,1024
114,114,0.0574482873916626,0.1875790771484375,0.9847833333333333,0.9824000000953674,2.458005666732788,298.42464566230774,0.001,1024
115,115,0.06362750422159831,0.1890836669921875,0.9835833333333334,0.9835999608039856,2.52040958404541,300.9577031135559,0.001,1024
