,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.232979863993327,0.64131796875,0.6957666666666666,0.7913999557495117,1.0,1.0,0.9896689032419891,473467.5,1.0,478410.0,3.741421937942505,6.081007957458496,0.001,1024
1,1,0.5370495162963868,0.5024896484375,0.8107666666666666,0.8288999795913696,1.0,1.0,0.9890857214523108,473188.5,1.0,478410.0,2.440788984298706,8.537033319473267,0.001,1024
2,2,0.4493365687052409,0.469287158203125,0.8405833333333333,0.8384999632835388,1.0,1.0,0.9886781212767292,472993.5,1.0,478410.0,2.6859793663024902,11.23839521408081,0.001,1024
3,3,0.4209737937927246,0.47065458984375,0.84975,0.8427000045776367,1.0,1.0,0.9882673857151816,472797.0,1.0,478410.0,2.535881519317627,13.789137840270996,0.001,1024
4,4,0.3906153582255046,0.413488525390625,0.8593,0.8585000038146973,1.0,1.0,0.9876434439079451,472498.5,1.0,478410.0,2.5844216346740723,16.38696312904358,0.001,1024
5,5,0.369203360748291,0.408769677734375,0.8650333333333333,0.861299991607666,1.0,1.0,0.9870978867498589,472237.5,1.0,478410.0,2.583526849746704,18.983797788619995,0.001,1024
6,6,0.3426880271911621,0.39999052734375,0.8747333333333334,0.8616999983787537,1.0,1.0,0.9864655839133797,471935.0,1.0,478410.0,2.6576220989227295,21.65544295310974,0.001,1024
7,7,0.3336114028930664,0.3949136474609375,0.8773,0.8597999811172485,1.0,1.0,0.9856587445914592,471549.0,1.0,478410.0,2.598630666732788,24.267810106277466,0.001,1024
8,8,0.3223407541910807,0.3806818359375,0.8816166666666667,0.8661999702453613,1.0,1.0,0.985004494053218,471236.0,1.0,478410.0,2.5079398155212402,26.78971838951111,0.001,1024
9,9,0.3050474881490072,0.37070224609375,0.8868,0.8732999563217163,1.0,1.0,0.9840241633745114,470767.0,1.0,478410.0,2.6264235973358154,29.429990530014038,0.001,1024
10,10,0.30085129572550456,0.3691209228515625,0.8874,0.8741999864578247,1.0,1.0,0.9833166112748479,470428.5,1.0,478410.0,2.625441312789917,32.06962323188782,0.001,1024
11,11,0.2855918655395508,0.3611764892578125,0.8949666666666667,0.8756999969482422,1.0,1.0,0.9823111975084133,469947.5,1.0,478410.0,2.544778823852539,34.628809690475464,0.001,1024
12,12,0.2813549878438314,0.36738369140625,0.8951666666666667,0.8718000054359436,1.0,1.0,0.9810403210635229,469339.5,1.0,478410.0,2.6195695400238037,37.26294469833374,0.001,1024
13,13,0.2799327168782552,0.375742431640625,0.8959833333333334,0.8708999752998352,1.0,1.0,0.9797840764198072,468738.5,1.0,478410.0,2.5166990756988525,39.79450964927673,0.001,1024
14,14,0.2705849606831868,0.35504052734375,0.8999,0.8784999847412109,1.0,1.0,0.9784170481386258,468084.5,1.0,478410.0,2.5262653827667236,42.33566451072693,0.001,1024
15,15,0.27045213216145836,0.3605671142578125,0.8997833333333334,0.875499963760376,1.0,1.0,0.976866077214105,467342.5,1.0,478410.0,2.548454523086548,44.899343967437744,0.001,1024
16,16,0.2573906557718913,0.35821357421875,0.90335,0.878600001335144,1.0,1.0,0.9753819945235258,466632.5,1.0,478410.0,2.5424633026123047,47.45727896690369,0.001,1024
17,17,0.2495704798380534,0.3628433349609375,0.9072,0.8770999908447266,1.0,1.0,0.9735551096339959,465758.5,1.0,478410.0,2.661421537399292,50.13499975204468,0.001,1024
18,18,0.25226417338053386,0.3615554931640625,0.9067166666666666,0.8797999620437622,1.0,1.0,0.9715432369724714,464796.0,1.0,478410.0,2.5931990146636963,52.74448800086975,0.001,1024
19,19,0.24754663263956705,0.3506673828125,0.9070833333333334,0.8834999799728394,1.0,1.0,0.9692585857319036,463703.0,1.0,478410.0,2.698362350463867,55.4586763381958,0.001,1024
20,20,0.24684782384236653,0.358248681640625,0.9068166666666667,0.8815999627113342,1.0,1.0,0.9668955498421856,462572.5,1.0,478410.0,2.587886333465576,58.063568115234375,0.001,1024
21,21,0.23712370630900065,0.346902978515625,0.9116666666666666,0.8835999965667725,1.0,1.0,0.9642555548588031,461309.5,1.0,478410.0,2.6034631729125977,60.684197664260864,0.001,1024
22,22,0.23718970692952474,0.3541276123046875,0.9110333333333334,0.8806999921798706,1.0,1.0,0.9613574130975523,459923.0,1.0,478410.0,2.5353097915649414,63.237977743148804,0.001,1024
23,23,0.2517092788696289,0.345126123046875,0.9057333333333333,0.8849999904632568,1.0,1.0,0.9580506260320646,458341.0,1.0,478410.0,2.529367446899414,65.78482007980347,0.001,1024
24,24,0.23172046915690103,0.35049482421875,0.9129666666666667,0.8822999596595764,1.0,1.0,0.954636190715077,456707.5,1.0,478410.0,2.5759520530700684,68.37819266319275,0.001,1024
