,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,2.3813339853922524,0.72204580078125,0.6043666666666667,0.7493999600410461,1.0,0.9599999785423279,0.9925000071525574,0.9920000433921814,"tensor(0.9916, device='cuda:0')","tensor(1062868, device='cuda:0')","tensor(0.9659, device='cuda:0')","tensor(2848468., device='cuda:0')",4.083102703094482,6.213421821594238,0.002,1024
1,1,0.5899183298746745,0.588777587890625,0.7875833333333333,0.79339998960495,1.0,0.9799999594688416,0.9862499833106995,0.9860000610351562,"tensor(0.9861, device='cuda:0')","tensor(1056961, device='cuda:0')","tensor(0.9781, device='cuda:0')","tensor(2884431., device='cuda:0')",2.7271528244018555,8.960869073867798,0.002,1024
2,2,0.49632108306884765,0.490026220703125,0.8192,0.82669997215271,1.0,1.0,0.9862499833106995,0.9900000691413879,"tensor(0.9880, device='cuda:0')","tensor(1059064, device='cuda:0')","tensor(0.9938, device='cuda:0')","tensor(2930719., device='cuda:0')",2.7984540462493896,11.776612520217896,0.002,1024
3,3,0.44988548024495445,0.451628125,0.8384666666666667,0.8500999808311462,1.0,0.9799999594688416,0.9899999499320984,0.9860000610351562,"tensor(0.9883, device='cuda:0')","tensor(1059364, device='cuda:0')","tensor(0.9794, device='cuda:0')","tensor(2888265., device='cuda:0')",2.702065944671631,14.497885465621948,0.002,1024
4,4,0.4217855644226074,0.423898583984375,0.8483833333333334,0.847599983215332,1.0,1.0,0.9774999618530273,0.9740000367164612,"tensor(0.9768, device='cuda:0')","tensor(1047049, device='cuda:0')","tensor(0.9886, device='cuda:0')","tensor(2915303., device='cuda:0')",2.636197328567505,17.15437936782837,0.002,1024
5,5,0.41111338857014973,0.3897818359375,0.8514833333333334,0.8631999492645264,1.0,0.9799999594688416,0.9737499952316284,0.9720000624656677,"tensor(0.9734, device='cuda:0')","tensor(1043344, device='cuda:0')","tensor(0.9719, device='cuda:0')","tensor(2866121., device='cuda:0')",2.7153942584991455,19.891581773757935,0.002,1024
6,6,0.3813624176025391,0.4021603759765625,0.8619833333333333,0.8549999594688416,1.0,1.0,0.96875,0.9740000367164612,"tensor(0.9716, device='cuda:0')","tensor(1041442, device='cuda:0')","tensor(0.9855, device='cuda:0')","tensor(2906287., device='cuda:0')",2.7649219036102295,22.679088830947876,0.002,1024
7,7,0.34881262919108075,0.4222408203125,0.8723833333333333,0.8545999526977539,1.0,1.0,0.9699999690055847,0.9760000705718994,"tensor(0.9731, device='cuda:0')","tensor(1043044, device='cuda:0')","tensor(0.9862, device='cuda:0')","tensor(2908362., device='cuda:0')",2.6866986751556396,25.390256643295288,0.002,1024
8,8,0.33478168563842775,0.374818017578125,0.8778833333333333,0.8700000047683716,0.949999988079071,0.9799999594688416,0.9712499976158142,0.9640000462532043,"tensor(0.9689, device='cuda:0')","tensor(1038512, device='cuda:0')","tensor(0.9383, device='cuda:0')","tensor(2767051., device='cuda:0')",2.7216334342956543,28.137523651123047,0.002,1024
9,9,0.33001338653564455,0.353488525390625,0.8796666666666667,0.87909996509552,1.0,0.9799999594688416,0.9724999666213989,0.968000054359436,"tensor(0.9711, device='cuda:0')","tensor(1040941, device='cuda:0')","tensor(0.9709, device='cuda:0')","tensor(2863272., device='cuda:0')",2.6320314407348633,30.79665732383728,0.002,1024
10,10,0.3282962142944336,0.3545784423828125,0.8812833333333333,0.8792999982833862,1.0,1.0,0.9587499499320984,0.9740000367164612,"tensor(0.9656, device='cuda:0')","tensor(1035034, device='cuda:0')","tensor(0.9820, device='cuda:0')","tensor(2895983., device='cuda:0')",2.799207925796509,33.62416625022888,0.002,1024
11,11,0.318849094136556,0.352902978515625,0.8834833333333333,0.8794999718666077,1.0,1.0,0.9462499618530273,0.9480000734329224,"tensor(0.9484, device='cuda:0')","tensor(1016611, device='cuda:0')","tensor(0.9743, device='cuda:0')","tensor(2873119., device='cuda:0')",2.682830810546875,36.3365957736969,0.002,1024
12,12,0.32933909327189126,0.374010693359375,0.8797833333333334,0.8705999851226807,1.0,0.9799999594688416,0.9237499833106995,0.9500000476837158,"tensor(0.9353, device='cuda:0')","tensor(1002493, device='cuda:0')","tensor(0.9518, device='cuda:0')","tensor(2807031., device='cuda:0')",2.675786256790161,39.04348874092102,0.002,1024
13,13,0.32296356506347657,0.3799154052734375,0.881,0.8668999671936035,1.0,1.0,0.9174999594688416,0.9220000505447388,"tensor(0.9215, device='cuda:0')","tensor(987775, device='cuda:0')","tensor(0.9610, device='cuda:0')","tensor(2834109., device='cuda:0')",2.675661563873291,41.75109910964966,0.002,1024
14,14,0.33404256337483723,0.4049744384765625,0.8779666666666667,0.8685999512672424,1.0,0.9599999785423279,0.8937499523162842,0.9000000357627869,"tensor(0.8982, device='cuda:0')","tensor(962743, device='cuda:0')","tensor(0.9207, device='cuda:0')","tensor(2715137., device='cuda:0')",2.63016939163208,44.41521739959717,0.002,1024
15,15,0.3082089179992676,0.3639031982421875,0.8864833333333333,0.8831999897956848,1.0,1.0,0.8799999952316284,0.8960000276565552,"tensor(0.8894, device='cuda:0')","tensor(953332, device='cuda:0')","tensor(0.9450, device='cuda:0')","tensor(2786954., device='cuda:0')",2.7331349849700928,47.18312358856201,0.002,1024
16,16,0.3161784324645996,0.3817641845703125,0.8851333333333333,0.871399998664856,1.0,0.9799999594688416,0.8574999570846558,0.8400000333786011,"tensor(0.8546, device='cuda:0')","tensor(915985, device='cuda:0')","tensor(0.9162, device='cuda:0')","tensor(2701916., device='cuda:0')",2.6983392238616943,49.917842864990234,0.002,1024
17,17,0.3157470230102539,0.361907177734375,0.8844333333333333,0.886199951171875,1.0,0.9599999785423279,0.8299999833106995,0.8480000495910645,"tensor(0.8406, device='cuda:0')","tensor(901066, device='cuda:0')","tensor(0.8937, device='cuda:0')","tensor(2635418., device='cuda:0')",2.7019083499908447,52.65730810165405,0.002,1024
18,18,0.31768171106974286,0.37967607421875,0.8839833333333333,0.8794999718666077,1.0,0.9599999785423279,0.7874999642372131,0.8320000171661377,"tensor(0.8093, device='cuda:0')","tensor(867424, device='cuda:0')","tensor(0.8782, device='cuda:0')","tensor(2589728., device='cuda:0')",2.6875388622283936,55.383934020996094,0.002,1024
19,19,0.33998687260945637,0.3865779541015625,0.8777166666666667,0.880899965763092,1.0,0.9599999785423279,0.7787500023841858,0.7740000486373901,"tensor(0.7824, device='cuda:0')","tensor(838588, device='cuda:0')","tensor(0.8691, device='cuda:0')","tensor(2563047., device='cuda:0')",2.6457459926605225,58.07197332382202,0.002,1024
20,20,0.3129796719868978,0.378286767578125,0.8856666666666667,0.8862999677658081,1.0,0.8999999761581421,0.7224999666213989,0.7300000190734863,"tensor(0.7309, device='cuda:0')","tensor(783418, device='cuda:0')","tensor(0.8051, device='cuda:0')","tensor(2374133., device='cuda:0')",2.675930976867676,60.78960180282593,0.002,1024
21,21,0.3263631340026856,0.403982958984375,0.8811166666666667,0.87909996509552,1.0,0.9599999785423279,0.6512500047683716,0.6960000395774841,"tensor(0.6770, device='cuda:0')","tensor(725647, device='cuda:0')","tensor(0.8221, device='cuda:0')","tensor(2424387., device='cuda:0')",2.6380045413970947,63.47054743766785,0.002,1024
22,22,0.35355299275716146,0.400385595703125,0.8727166666666667,0.8804999589920044,1.0,0.9399999976158142,0.6349999904632568,0.6420000195503235,"tensor(0.6466, device='cuda:0')","tensor(693106, device='cuda:0')","tensor(0.7988, device='cuda:0')","tensor(2355661., device='cuda:0')",2.656102418899536,66.1712875366211,0.002,1024
23,23,0.3563634554545085,0.4482775390625,0.87305,0.8664999604225159,1.0,0.8399999737739563,0.5949999690055847,0.6060000061988831,"tensor(0.6069, device='cuda:0')","tensor(650551, device='cuda:0')","tensor(0.7169, device='cuda:0')","tensor(2114127., device='cuda:0')",2.8391048908233643,69.05640172958374,0.002,1024
24,24,0.36529364217122395,0.42694189453125,0.87035,0.876800000667572,1.0,0.9399999976158142,0.5049999952316284,0.562000036239624,"tensor(0.5390, device='cuda:0')","tensor(577762, device='cuda:0')","tensor(0.7553, device='cuda:0')","tensor(2227365., device='cuda:0')",2.709176778793335,71.81267023086548,0.002,1024
25,25,0.3707603945414225,0.432449658203125,0.86965,0.8732999563217163,1.0,0.9199999570846558,0.48499998450279236,0.5400000214576721,"tensor(0.5184, device='cuda:0')","tensor(555634, device='cuda:0')","tensor(0.7352, device='cuda:0')","tensor(2168160., device='cuda:0')",2.685192584991455,74.5466206073761,0.002,1024
26,26,0.36391335805257163,0.4137861328125,0.8694666666666667,0.8793999552726746,0.949999988079071,0.8799999952316284,0.4762499928474426,0.5440000295639038,"tensor(0.5137, device='cuda:0')","tensor(550601, device='cuda:0')","tensor(0.6783, device='cuda:0')","tensor(2000199., device='cuda:0')",2.775327444076538,77.3720235824585,0.002,1024
27,27,0.3546051294962565,0.418567626953125,0.8731333333333333,0.8765999674797058,0.949999988079071,0.8799999952316284,0.4312499761581421,0.4480000138282776,"tensor(0.4509, device='cuda:0')","tensor(483317, device='cuda:0')","tensor(0.6605, device='cuda:0')","tensor(1947939., device='cuda:0')",2.7212746143341064,80.1447868347168,0.002,1024
28,28,0.36783792673746746,0.4036458984375,0.8685833333333334,0.8812999725341797,1.0,0.7799999713897705,0.4037500023841858,0.4320000112056732,"tensor(0.4262, device='cuda:0')","tensor(456808, device='cuda:0')","tensor(0.6185, device='cuda:0')","tensor(1824045., device='cuda:0')",2.7902934551239014,82.98727655410767,0.002,1024
