,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,epoch duration,run duration,lr,batch_size
0,0,0.8869363287607829,0.629567138671875,0.7363833333333333,0.7874000072479248,8.551149606704712,14.107655048370361,0.0001,128
1,1,0.4938707255681356,0.470262744140625,0.8278166666666666,0.8431999683380127,4.993192911148071,19.111436367034912,0.0001,128
2,2,0.4175557357152303,0.423127099609375,0.8522166666666666,0.8580999970436096,5.264272212982178,24.384904146194458,0.0001,128
3,3,0.374175562731425,0.406411474609375,0.8678333333333333,0.8569999933242798,5.205547094345093,29.599546670913696,0.0001,128
4,4,0.34579084685643513,0.394360888671875,0.8750333333333333,0.8639999628067017,5.100570917129517,34.70932984352112,0.0001,128
5,5,0.3212325850168864,0.3803150634765625,0.8841666666666667,0.8651999831199646,5.7116944789886475,40.430286169052124,0.0001,128
6,6,0.30005643736521403,0.3613513427734375,0.8917333333333334,0.8744999766349792,5.160041093826294,45.59955668449402,0.0001,128
7,7,0.28299116668701174,0.3603166748046875,0.89625,0.8752999901771545,5.134745359420776,50.74364972114563,0.0001,128
8,8,0.2745485284169515,0.348183251953125,0.8992833333333333,0.8807999491691589,5.06325626373291,55.816730976104736,0.0001,128
9,9,0.25604505478541056,0.331807470703125,0.90605,0.8876000046730042,5.064974308013916,60.891289949417114,0.0001,128
10,10,0.24998773854573567,0.33942412109375,0.90835,0.8813999891281128,5.337771654129028,66.23878860473633,0.0001,128
11,11,0.2370704761981964,0.3401971435546875,0.9135833333333333,0.8840000033378601,5.252455949783325,71.50105285644531,0.0001,128
12,12,0.2247852647781372,0.332432861328125,0.9171833333333334,0.8898999691009521,5.38709020614624,76.89800357818604,0.0001,128
13,13,0.21363458860715231,0.3224980224609375,0.9210166666666667,0.8888999819755554,5.328141450881958,82.23604345321655,0.0001,128
14,14,0.20751870505015055,0.3287142578125,0.9236333333333333,0.889799952507019,5.541218996047974,87.78770518302917,0.0001,128
15,15,0.20077361906369529,0.3219493408203125,0.9254833333333333,0.8934999704360962,5.142394542694092,92.94035768508911,0.0001,128
16,16,0.18817848049799601,0.3242821044921875,0.9302333333333334,0.8917999863624573,5.169520854949951,98.12018704414368,0.0001,128
17,17,0.18581767837206523,0.3150966796875,0.9316833333333333,0.8966999650001526,5.267378330230713,103.39800214767456,0.0001,128
18,18,0.17467779995600383,0.3257262451171875,0.9350166666666667,0.8913999795913696,5.3110973834991455,108.7193968296051,0.0001,128
19,19,0.16910760384400686,0.320361083984375,0.9371833333333334,0.8968999981880188,5.190751314163208,113.92077779769897,0.0001,128
20,20,0.1630863799571991,0.310922119140625,0.9388166666666666,0.8988999724388123,5.414048194885254,119.34573197364807,0.0001,128
21,21,0.15755022201538085,0.3374393310546875,0.9422666666666667,0.8937999606132507,5.261707067489624,124.61807680130005,0.0001,128
22,22,0.15227668430805205,0.3304547119140625,0.9429666666666666,0.8959999680519104,5.250342607498169,129.87902569770813,0.0001,128
23,23,0.14335273298422496,0.3212534423828125,0.9466,0.899399995803833,5.480523109436035,135.37155961990356,0.0001,128
24,24,0.14125745515028634,0.3257554443359375,0.9476166666666667,0.899399995803833,5.459388732910156,140.8420524597168,0.0001,128
25,25,0.13489356146653494,0.309063037109375,0.9509833333333333,0.9034000039100647,5.566856145858765,146.41992044448853,0.0001,128
26,26,0.1293404886484146,0.3310791259765625,0.9531333333333334,0.9001999497413635,5.489889860153198,151.92084670066833,0.0001,128
27,27,0.12684003574848174,0.32809794921875,0.9530666666666666,0.9007999897003174,5.4601891040802,157.39221024513245,0.0001,128
28,28,0.12196641266345978,0.3379663330078125,0.9547166666666667,0.8988999724388123,5.296584367752075,162.70035672187805,0.0001,128
29,29,0.11936053891976674,0.3263498779296875,0.9556333333333333,0.9027000069618225,5.507192373275757,168.21887302398682,0.0001,128
30,30,0.1154699451526006,0.333521044921875,0.9580666666666666,0.9005999565124512,5.4613916873931885,173.69169330596924,0.0001,128
31,31,0.11234503364562988,0.33983466796875,0.9583666666666667,0.9037999510765076,5.169515132904053,178.87274289131165,0.0001,128
32,32,0.10702585541407267,0.3436807373046875,0.9610333333333333,0.9009999632835388,5.101582765579224,183.98595881462097,0.0001,128
33,33,0.10610692716042201,0.3362906005859375,0.96125,0.9018999934196472,5.2478928565979,189.2455039024353,0.0001,128
34,34,0.10390956847667694,0.3488956298828125,0.9618666666666666,0.9003999829292297,5.3525710105896,194.6097891330719,0.0001,128
35,35,0.10089782959620158,0.34507734375,0.9631333333333333,0.9042999744415283,5.423687934875488,200.04531145095825,0.0001,128
36,36,0.10152085170745849,0.3539238525390625,0.9631,0.9010999798774719,5.307323694229126,205.36490106582642,0.0001,128
37,37,0.09849128518899282,0.348401611328125,0.96345,0.9004999995231628,5.274937152862549,210.651869058609,0.0001,128
38,38,0.0946748360435168,0.3660291015625,0.9660166666666666,0.9027000069618225,5.028789281845093,215.69273614883423,0.0001,128
39,39,0.09380420819123586,0.348276708984375,0.96505,0.9052000045776367,5.54859733581543,221.25345134735107,0.0001,128
40,40,0.09197794663508733,0.3586586669921875,0.9657666666666667,0.9027000069618225,5.310057163238525,226.57607340812683,0.0001,128
41,41,0.09217506058613459,0.3560360595703125,0.9650166666666666,0.903499960899353,5.250232219696045,231.83891534805298,0.0001,128
42,42,0.08995251465241114,0.3569119384765625,0.9666333333333333,0.906499981880188,5.329955816268921,237.18227410316467,0.0001,128
43,43,0.09010360664129258,0.3573334228515625,0.9662166666666666,0.9066999554634094,5.6197710037231445,242.8152723312378,0.0001,128
44,44,0.08683018232186636,0.3671650634765625,0.9687333333333333,0.9041000008583069,5.165927410125732,247.9937732219696,0.0001,128
45,45,0.08741375992695491,0.3533886474609375,0.96815,0.9032999873161316,5.466799736022949,253.4734878540039,0.0001,128
46,46,0.08560429058074952,0.372073583984375,0.9681333333333333,0.9057999849319458,5.394359827041626,258.88067722320557,0.0001,128
47,47,0.08428474131027858,0.3937502685546875,0.9692833333333334,0.9021999835968018,5.6535749435424805,264.54739451408386,0.0001,128
48,48,0.08502360447247823,0.364994287109375,0.9675666666666667,0.9068999886512756,5.313722372055054,269.8741476535797,0.0001,128
49,49,0.08594882182677586,0.3520806396484375,0.96695,0.9070000052452087,5.114149570465088,275.00171303749084,0.0001,128
50,50,0.08352265184322993,0.38377841796875,0.9695333333333334,0.902999997138977,5.345355749130249,280.36118960380554,0.0001,128
51,51,0.0857832512219747,0.37860751953125,0.9679666666666666,0.902999997138977,5.422121047973633,285.79672861099243,0.0001,128
52,52,0.08150546169281006,0.37360703125,0.9694333333333334,0.9045999646186829,5.265122652053833,291.0758979320526,0.0001,128
53,53,0.08475635385513305,0.376414306640625,0.9680833333333333,0.9038999676704407,5.22309684753418,296.31317162513733,0.0001,128
54,54,0.08217349479993184,0.3872991455078125,0.9695,0.9049999713897705,5.283816814422607,301.6105296611786,0.0001,128
55,55,0.08264136513471604,0.3840508544921875,0.9689333333333333,0.9081999659538269,5.176224231719971,306.80034923553467,0.0001,128
56,56,0.08364659733374913,0.38374560546875,0.9684666666666667,0.9049999713897705,5.5125412940979,312.3266167640686,0.0001,128
57,57,0.08405407890081405,0.391997021484375,0.9680333333333333,0.9048999547958374,5.34815526008606,317.68888688087463,0.0001,128
58,58,0.08557858266830444,0.3699550048828125,0.9678166666666667,0.9074999690055847,5.1513519287109375,322.85416984558105,0.0001,128
59,59,0.08575669705073038,0.3810826171875,0.9675166666666667,0.9079999923706055,5.584302186965942,328.45238971710205,0.0001,128
60,60,0.08675224522352219,0.3778724853515625,0.9668333333333333,0.9074999690055847,5.266331434249878,333.7332458496094,0.0001,128
61,61,0.08401544844706853,0.388114697265625,0.9690666666666666,0.9093999862670898,5.262725353240967,339.0080347061157,0.0001,128
62,62,0.08633621410528819,0.37586884765625,0.9673,0.9074999690055847,5.621422529220581,344.64109230041504,0.0001,128
63,63,0.08500750212073326,0.384074755859375,0.96775,0.9091999530792236,5.198012828826904,349.8509929180145,0.0001,128
64,64,0.08548824302752812,0.4028379638671875,0.9670666666666666,0.9060999751091003,5.3982415199279785,355.2609512805939,0.0001,128
65,65,0.08731355709234874,0.3962756103515625,0.9668833333333333,0.9053999781608582,5.387353181838989,360.6598811149597,0.0001,128
66,66,0.08580957263906797,0.392759765625,0.9675,0.9083999991416931,5.200851678848267,365.8725264072418,0.0001,128
67,67,0.08895005754629771,0.38518193359375,0.96585,0.9063999652862549,5.376205205917358,371.26039838790894,0.0001,128
68,68,0.08751491134961446,0.4081673583984375,0.9669333333333333,0.9067999720573425,5.383889436721802,376.65693759918213,0.0001,128
69,69,0.08919698640505473,0.4001211181640625,0.9662333333333334,0.9097999930381775,5.28180456161499,381.95061802864075,0.0001,128
70,70,0.08825325071414311,0.389041650390625,0.9667333333333333,0.9080999493598938,5.479410886764526,387.44226145744324,0.0001,128
71,71,0.08777143135468166,0.4061870361328125,0.9667833333333333,0.9065999984741211,5.258736848831177,392.71307945251465,0.0001,128
72,72,0.09135170923868816,0.39351484375,0.9655666666666667,0.9089999794960022,5.377747058868408,398.1024956703186,0.0001,128
73,73,0.09022801058689753,0.400916162109375,0.9662,0.9073999524116516,5.391523599624634,403.50660848617554,0.0001,128
74,74,0.0933344195842743,0.4038126220703125,0.9649666666666666,0.9063999652862549,5.405343294143677,408.9235694408417,0.0001,128
75,75,0.09372252009908358,0.3912817626953125,0.9644,0.9089999794960022,5.246971130371094,414.18220829963684,0.0001,128
76,76,0.09107558660109838,0.401143310546875,0.9656666666666667,0.9077999591827393,5.278838872909546,419.472763299942,0.0001,128
77,77,0.09411603145202001,0.39810205078125,0.96445,0.9097999930381775,5.144380569458008,424.6288962364197,0.0001,128
78,78,0.09725088879267375,0.3971463134765625,0.9633166666666667,0.9077999591827393,5.323732376098633,429.9643394947052,0.0001,128
79,79,0.09555491443872452,0.4055986083984375,0.9646166666666667,0.9090999960899353,5.448652267456055,435.4250478744507,0.0001,128
80,80,0.09687777852217357,0.40595751953125,0.9631666666666666,0.9099999666213989,5.580011367797852,441.0182902812958,0.0001,128
81,81,0.09487496129671733,0.4028415283203125,0.9638333333333333,0.9120999574661255,5.459369897842407,446.4894573688507,0.0001,128
82,82,0.09506314358313879,0.400475732421875,0.96435,0.9077999591827393,5.325343132019043,451.8265926837921,0.0001,128
83,83,0.10188420546849569,0.416119140625,0.9618,0.9041999578475952,5.359509468078613,457.1978404521942,0.0001,128
84,84,0.0995044797539711,0.4041662109375,0.96275,0.9090999960899353,5.282977104187012,462.49254393577576,0.0001,128
85,85,0.0998347002863884,0.403360986328125,0.9623833333333334,0.9079999923706055,5.400518417358398,467.90496301651,0.0001,128
86,86,0.10125170843601226,0.3895662109375,0.96205,0.9084999561309814,5.38614559173584,473.3034062385559,0.0001,128
87,87,0.1023293469707171,0.407167724609375,0.9615833333333333,0.9090999960899353,5.413312673568726,478.7284400463104,0.0001,128
88,88,0.10406467437744141,0.4007843017578125,0.9605,0.9078999757766724,5.2789812088012695,484.0193672180176,0.0001,128
89,89,0.10266602006355921,0.411989697265625,0.96105,0.9083999991416931,5.571196794509888,489.60229778289795,0.0001,128
90,90,0.10671989926099777,0.401989794921875,0.9604666666666667,0.909500002861023,5.399247646331787,495.01334285736084,0.0001,128
91,91,0.10466731627782186,0.41421357421875,0.9606833333333333,0.9070999622344971,5.372237205505371,500.3973388671875,0.0001,128
92,92,0.1039063690662384,0.41808369140625,0.96015,0.9083999991416931,5.4853057861328125,505.8944265842438,0.0001,128
93,93,0.10756684597333273,0.4021822998046875,0.9597666666666667,0.90829998254776,5.374995708465576,511.28169465065,0.0001,128
94,94,0.10812251007159551,0.409912255859375,0.9597166666666667,0.9095999598503113,5.202735185623169,516.496199131012,0.0001,128
95,95,0.10801403499046962,0.419485888671875,0.9596,0.9072999954223633,5.48982834815979,521.9977548122406,0.0001,128
96,96,0.11149087858597438,0.4032578369140625,0.9576333333333333,0.9093999862670898,5.579102516174316,527.5889663696289,0.0001,128
97,97,0.1100412143945694,0.4116294921875,0.9591,0.9109999537467957,5.157741069793701,532.7585039138794,0.0001,128
98,98,0.11019385937452317,0.3964511474609375,0.9585,0.9111999869346619,5.566327333450317,538.3367478847504,0.0001,128
99,99,0.11079889404773711,0.406582177734375,0.9581666666666667,0.9121999740600586,5.2858147621154785,543.6343731880188,0.0001,128
100,100,0.11457364836931229,0.415212939453125,0.9574166666666667,0.9101999998092651,5.123392820358276,548.7698545455933,0.0001,128
101,101,0.11116445909341176,0.41165634765625,0.9577833333333333,0.9092999696731567,5.087106227874756,553.8689880371094,0.0001,128
102,102,0.11292607089281081,0.410992919921875,0.95785,0.9116999506950378,5.159533977508545,559.0403180122375,0.0001,128
103,103,0.11474894511699676,0.396861376953125,0.9573833333333334,0.9107999801635742,5.288883209228516,564.3415992259979,0.0001,128
