,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,0.913487845102946,0.24337314453125,0.8434333333333334,0.9365999698638916,0.9925000071525574,0.98499995470047,"tensor(0.9900, device='cuda:0')","tensor(473649, device='cuda:0')","tensor(0.9875, device='cuda:0')","tensor(472407., device='cuda:0')",3.8143904209136963,6.281339168548584,0.001,1024
1,1,0.17887860908508302,0.15963729248046876,0.9479,0.9542999863624573,0.9874999523162842,0.9899999499320984,"tensor(0.9884, device='cuda:0')","tensor(472881, device='cuda:0')","tensor(0.9842, device='cuda:0')","tensor(470861., device='cuda:0')",2.286654233932495,8.605303287506104,0.001,1024
2,2,0.11615647417704264,0.13049422607421876,0.9645833333333333,0.9635999798774719,0.9824999570846558,0.98499995470047,"tensor(0.9835, device='cuda:0')","tensor(470509, device='cuda:0')","tensor(0.9776, device='cuda:0')","tensor(467691., device='cuda:0')",2.206953763961792,10.828368902206421,0.001,1024
3,3,0.08227818743387857,0.11966927490234375,0.9750333333333333,0.965499997138977,0.98499995470047,0.9925000071525574,"tensor(0.9876, device='cuda:0')","tensor(472497, device='cuda:0')","tensor(0.9826, device='cuda:0')","tensor(470085., device='cuda:0')",2.210169553756714,13.05596923828125,0.001,1024
4,4,0.05934795281092326,0.11228074951171875,0.9821333333333333,0.9675999879837036,0.98499995470047,0.9925000071525574,"tensor(0.9876, device='cuda:0')","tensor(472497, device='cuda:0')","tensor(0.9826, device='cuda:0')","tensor(470085., device='cuda:0')",2.249127149581909,15.323585033416748,0.001,1024
5,5,0.046615501403808594,0.1020265380859375,0.9857,0.9709999561309814,0.9874999523162842,0.9899999499320984,"tensor(0.9884, device='cuda:0')","tensor(472881, device='cuda:0')","tensor(0.9842, device='cuda:0')","tensor(470861., device='cuda:0')",2.2307615280151367,17.574342489242554,0.001,1024
6,6,0.03434079208374023,0.10129290161132813,0.98985,0.9718999862670898,0.9899999499320984,0.9824999570846558,"tensor(0.9876, device='cuda:0')","tensor(472463, device='cuda:0')","tensor(0.9841, device='cuda:0')","tensor(470821., device='cuda:0')",2.258237361907959,19.853758335113525,0.001,1024
7,7,0.027717676003774006,0.09213280029296875,0.9919833333333333,0.9751999974250793,0.9925000071525574,0.98499995470047,"tensor(0.9900, device='cuda:0')","tensor(473649, device='cuda:0')","tensor(0.9875, device='cuda:0')","tensor(472407., device='cuda:0')",2.217728614807129,22.094549417495728,0.001,1024
8,8,0.022646366866429648,0.0943986572265625,0.99345,0.974399983882904,0.9799999594688416,0.9824999570846558,"tensor(0.9810, device='cuda:0')","tensor(469323, device='cuda:0')","tensor(0.9743, device='cuda:0')","tensor(466109., device='cuda:0')",2.221144199371338,24.33983039855957,0.001,1024
9,9,0.019626199865341188,0.09421260375976563,0.99415,0.974399983882904,0.9925000071525574,0.9874999523162842,"tensor(0.9909, device='cuda:0')","tensor(474050, device='cuda:0')","tensor(0.9883, device='cuda:0')","tensor(472815., device='cuda:0')",2.2922861576080322,26.6578209400177,0.001,1024
