,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,0.913487845102946,0.24337314453125,0.8434333333333334,0.9365999698638916,0.9925000071525574,0.98499995470047,0.988389665767856,472855.5,0.988389665767856,472855.5,3.4733481407165527,5.731777906417847,0.001,1024
1,1,0.17887860908508302,0.15963729248046876,0.9479,0.9542999863624573,0.9874999523162842,0.9899999499320984,0.9913055747162476,474250.5,0.9913055747162476,474250.5,2.51273250579834,8.277016639709473,0.001,1024
2,2,0.11615647417704264,0.13049422607421876,0.9645833333333333,0.9635999798774719,0.9824999570846558,0.98499995470047,0.9875870069605568,472471.5,0.9875870069605568,472471.5,2.606234550476074,10.896740436553955,0.001,1024
3,3,0.08227818743387857,0.11966927490234375,0.9750333333333333,0.965499997138977,0.98499995470047,0.9925000071525574,0.9863830187496081,471895.5,0.9863830187496081,471895.5,2.519374132156372,13.429804801940918,0.001,1024
4,4,0.05934795281092326,0.11228074951171875,0.9821333333333333,0.9675999879837036,0.98499995470047,0.9925000071525574,0.9876047741476975,472480.0,0.9876047741476975,472480.0,2.367480993270874,15.81075143814087,0.001,1024
5,5,0.046615501403808594,0.1020265380859375,0.9857,0.9709999561309814,0.9874999523162842,0.9899999499320984,0.9855448255680275,471494.5,0.9855448255680275,471494.5,2.4055027961730957,18.22999382019043,0.001,1024
6,6,0.03434079208374023,0.10129290161132813,0.98985,0.9718999862670898,0.9899999499320984,0.9824999570846558,0.9838862063920069,470701.0,0.9838862063920069,470701.0,2.4188177585601807,20.663374185562134,0.001,1024
7,7,0.027717676003774006,0.09213280029296875,0.9919833333333333,0.9751999974250793,0.9925000071525574,0.98499995470047,0.9822631215902677,469924.5,0.9822631215902677,469924.5,2.520260810852051,23.197737455368042,0.001,1024
8,8,0.022646366866429648,0.0943986572265625,0.99345,0.974399983882904,0.9799999594688416,0.9824999570846558,0.9834671098012165,470500.5,0.9834671098012165,470500.5,2.422978401184082,25.635584354400635,0.001,1024
9,9,0.019626199865341188,0.09421260375976563,0.99415,0.974399983882904,0.9925000071525574,0.9874999523162842,0.9855448255680275,471494.5,0.9855448255680275,471494.5,2.373605966567993,28.0241916179657,0.001,1024
10,10,0.01661006882985433,0.09331353759765625,0.99545,0.9750999808311462,0.9899999499320984,0.9774999618530273,0.9806400367885286,469148.0,0.9806400367885286,469148.0,2.382445812225342,30.422341346740723,0.001,1024
11,11,0.013998123749097188,0.09613822631835937,0.9962,0.9764999747276306,0.9774999618530273,0.9899999499320984,0.9810058318178968,469323.0,0.9810058318178968,469323.0,2.4115843772888184,32.84878492355347,0.001,1024
12,12,0.011471684312820434,0.0940491943359375,0.9968,0.9768999814987183,0.9749999642372131,0.9799999594688416,0.9769214690328379,467369.0,0.9769214690328379,467369.0,2.393220901489258,35.257017612457275,0.001,1024
13,13,0.010166151475906372,0.0999272705078125,0.9971166666666667,0.9761999845504761,0.9699999690055847,0.9774999618530273,0.9789458832382266,468337.5,0.9789458832382266,468337.5,2.3895397186279297,37.66204762458801,0.001,1024
14,14,0.011000554625193278,0.09433032836914063,0.9965,0.977899968624115,0.9624999761581421,0.9724999666213989,0.9723291737212851,465172.0,0.9723291737212851,465172.0,2.53905987739563,40.21719551086426,0.001,1024
15,15,0.010312274400393168,0.09682505493164062,0.9968833333333333,0.9770999550819397,0.9799999594688416,0.9649999737739563,0.9719278443176355,464980.0,0.9719278443176355,464980.0,2.4785876274108887,42.71150493621826,0.001,1024
16,16,0.010008010387420654,0.09861556396484375,0.9970833333333333,0.9779999852180481,0.9674999713897705,0.9749999642372131,0.9714909805397044,464771.0,0.9714909805397044,464771.0,2.358902931213379,45.08608317375183,0.001,1024
17,17,0.00995786361694336,0.1028980712890625,0.9970333333333333,0.9775999784469604,0.9574999809265137,0.9699999690055847,0.9694310319600343,463785.5,0.9694310319600343,463785.5,2.4109463691711426,47.51303219795227,0.001,1024
18,18,0.008689629431565602,0.1041892333984375,0.9975666666666667,0.9770999550819397,0.9699999690055847,0.9724999666213989,0.9669519867895738,462599.5,0.9669519867895738,462599.5,2.634645700454712,50.16386127471924,0.001,1024
19,19,0.00957443823814392,0.10262532958984374,0.9971666666666666,0.9784999489784241,0.9724999666213989,0.9574999809265137,0.9652578332392717,461789.0,0.9652578332392717,461789.0,2.489912748336792,52.67010021209717,0.001,1024
20,20,0.011579347940286,0.11862198486328125,0.9960666666666667,0.974299967288971,0.9524999856948853,0.9624999761581421,0.9591668234359649,458875.0,0.9591668234359649,458875.0,2.4119954109191895,55.09831094741821,0.001,1024
21,21,0.012788829974333445,0.1056764892578125,0.9955166666666667,0.9789999723434448,0.9424999952316284,0.9724999666213989,0.9537896365042536,456302.5,0.9537896365042536,456302.5,2.419736862182617,57.53467011451721,0.001,1024
